Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Oklahoma City Thunder,23,5520,36.2,85.1,.425,12.6,37.8,.333,23.6,47.2,.500,19.0,25.5,.744,12.9,35.3,48.1,24.2,6.9,5.2,19.2,18.3,103.9
2,Houston Rockets,24,5835,38.3,88.3,.433,11.7,34.2,.341,26.6,54.1,.491,17.6,23.4,.753,10.6,33.2,43.8,21.6,7.3,6.3,14.9,20.5,105.8
3,Orlando Magic,26,6240,38.5,84.0,.459,12.1,33.2,.365,26.4,50.8,.520,17.1,22.7,.756,8.9,33.0,42.0,23.6,7.8,4.2,17.5,22.7,106.3
4,Memphis Grizzlies,25,6000,38.7,88.3,.438,12.7,38.4,.332,25.9,49.9,.520,18.4,24.5,.750,11.8,30.4,42.2,23.3,8.7,4.8,15.4,20.6,108.4
5,Golden State Warriors,23,5545,38.7,88.4,.438,12.8,38.3,.334,25.9,50.1,.517,18.3,23.6,.773,11.1,34.4,45.5,25.7,7.5,6.2,15.1,18.2,108.4
6,Minnesota Timberwolves,23,5570,40.5,88.2,.459,11.9,35.1,.340,28.5,53.1,.537,15.8,19.9,.794,10.5,32.5,42.9,24.0,9.7,4.7,16.0,19.7,108.7
7,Los Angeles Clippers,25,6025,40.0,86.5,.463,13.2,38.4,.344,26.8,48.1,.558,16.5,21.7,.758,9.6,32.9,42.5,25.4,9.7,5.4,15.6,18.6,109.7
8,Cleveland Cavaliers,25,6000,40.4,88.8,.455,13.6,36.6,.370,26.9,52.2,.515,16.8,21.0,.800,10.8,32.8,43.6,25.4,7.3,4.7,15.5,18.5,111.3
9,Dallas Mavericks,24,5785,40.6,90.1,.450,12.5,36.4,.344,28.0,53.7,.521,17.7,23.4,.759,11.9,31.5,43.5,26.7,8.2,4.2,14.3,19.4,111.4
10,Boston Celtics,24,5835,42.1,90.6,.465,12.7,35.4,.358,29.5,55.2,.534,14.6,18.8,.773,10.1,34.2,44.3,24.5,6.9,3.9,13.8,19.6,111.5
11,Miami Heat,22,5330,41.5,89.8,.462,14.0,38.9,.360,27.4,50.9,.539,15.0,18.6,.810,11.6,34.9,46.5,27.3,7.1,5.4,15.6,19.2,112.0
12,Philadelphia 76ers,22,5355,40.3,85.1,.473,13.1,37.2,.353,27.1,47.8,.568,19.1,23.0,.830,10.1,34.9,45.1,26.2,7.8,5.9,17.9,20.2,112.8
13,Sacramento Kings,25,6075,40.1,87.3,.459,15.0,39.8,.377,25.1,47.5,.528,18.0,22.5,.801,10.0,31.8,41.8,25.6,8.2,4.1,15.4,19.4,113.3
14,Detroit Pistons,25,6075,41.7,89.6,.465,14.1,37.7,.375,27.6,51.9,.531,16.2,21.3,.763,10.5,31.7,42.2,25.1,10.0,5.1,13.9,18.2,113.8
15,Milwaukee Bucks,23,5545,41.2,91.1,.453,14.2,39.0,.364,27.0,52.0,.519,17.1,20.6,.833,10.8,34.3,45.2,25.9,7.7,4.1,13.0,19.9,113.8
16,San Antonio Spurs,24,5760,42.9,92.0,.467,13.4,37.5,.358,29.5,54.4,.542,15.3,19.4,.789,11.6,33.3,44.8,26.0,8.7,4.7,14.0,19.5,114.5
17,New York Knicks,23,5520,41.9,89.7,.467,14.6,39.7,.368,27.3,50.1,.546,16.3,20.9,.779,10.1,31.1,41.2,26.6,7.1,4.5,13.4,19.5,114.6
18,Denver Nuggets,22,5330,42.8,91.5,.468,13.7,38.2,.360,29.1,53.3,.545,15.3,20.2,.759,12.1,31.6,43.7,29.3,8.5,5.8,14.7,20.7,114.7
19,Atlanta Hawks,25,6025,41.3,87.8,.471,15.4,39.7,.387,26.0,48.1,.540,17.1,21.9,.779,10.6,31.9,42.6,26.5,9.3,5.6,16.0,19.6,115.1
20,Charlotte Hornets,24,5810,41.4,87.6,.473,13.9,38.4,.363,27.5,49.2,.558,18.5,23.8,.776,10.2,33.3,43.5,26.5,7.9,5.5,14.6,19.4,115.3
21,Phoenix Suns,23,5570,42.5,90.8,.468,13.4,37.1,.362,29.0,53.7,.540,17.4,21.9,.794,10.8,33.9,44.7,26.6,8.4,4.5,13.0,20.1,115.7
22,Toronto Raptors,24,5835,40.8,88.5,.461,13.3,38.1,.350,27.5,50.4,.546,21.4,27.1,.792,11.4,31.1,42.5,25.6,9.7,6.1,13.6,19.3,116.4
23,Portland Trail Blazers,24,5760,41.8,88.2,.473,14.0,37.5,.372,27.8,50.7,.548,18.9,23.7,.796,12.2,33.5,45.7,28.0,10.2,6.7,16.3,19.8,116.4
24,Brooklyn Nets,24,5810,41.5,85.2,.487,13.4,36.2,.370,28.1,49.0,.574,20.5,26.3,.779,9.7,34.0,43.7,27.3,8.0,6.7,15.6,20.2,116.9
25,Indiana Pacers,25,6050,42.5,87.5,.486,13.6,36.7,.369,29.0,50.8,.570,18.5,23.9,.774,10.4,32.6,43.0,26.3,8.2,4.5,15.0,18.9,117.1
26,Los Angeles Lakers,24,5785,44.0,90.9,.484,14.3,38.3,.372,29.8,52.6,.566,15.3,19.3,.792,11.3,33.8,45.0,29.4,7.8,4.1,14.7,21.0,117.6
27,Chicago Bulls,25,6000,44.2,91.0,.486,13.0,36.9,.352,31.2,54.1,.578,16.4,21.4,.766,9.8,34.5,44.3,28.3,8.2,4.8,11.8,16.0,117.8
28,New Orleans Pelicans,25,6000,44.5,91.6,.486,14.6,39.3,.370,29.9,52.2,.573,15.1,19.4,.778,12.0,34.4,46.4,29.1,9.2,5.9,14.9,17.9,118.7
29,Utah Jazz,23,5520,44.4,92.3,.481,14.7,40.5,.362,29.7,51.8,.574,16.4,21.6,.760,11.3,30.8,42.1,28.7,10.2,6.7,12.1,20.6,119.8
30,Washington Wizards,22,5280,43.3,89.1,.486,13.9,37.2,.374,29.3,51.8,.566,20.0,25.8,.776,11.7,35.0,46.7,27.4,9.0,5.9,13.4,18.6,120.5
