Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New York Knicks,23,5520,44.9,89.8,.500,14.8,37.2,.398,30.1,52.7,.572,17.0,20.7,.822,9.4,34.0,43.4,28.8,7.5,4.3,13.3,18.1,121.7
2,Cleveland Cavaliers,25,6000,44.9,88.5,.507,15.4,38.1,.404,29.5,50.3,.585,16.0,20.5,.780,9.0,34.0,43.0,28.0,8.8,4.7,13.1,18.6,121.2
3,Boston Celtics,24,5835,41.9,91.7,.457,19.1,51.8,.370,22.8,39.9,.571,18.0,22.4,.805,10.5,33.8,44.4,25.9,7.4,5.7,11.9,16.9,121.0
4,Dallas Mavericks,24,5785,43.6,89.5,.487,13.3,35.5,.374,30.3,54.0,.561,18.6,24.0,.774,11.7,34.3,45.9,25.6,8.3,5.7,14.2,20.3,119.0
5,Memphis Grizzlies,25,6000,43.0,87.9,.489,12.7,35.7,.354,30.3,52.2,.581,18.2,23.4,.778,11.6,34.0,45.6,29.0,8.6,6.7,16.2,20.6,116.8
6,Sacramento Kings,25,6075,43.2,88.8,.486,12.1,34.9,.346,31.1,53.9,.577,18.0,22.7,.795,9.9,33.3,43.2,25.9,8.2,4.9,13.6,20.3,116.5
7,Denver Nuggets,22,5330,43.2,87.8,.492,11.5,29.9,.383,31.8,57.9,.549,18.6,24.8,.750,10.9,32.8,43.7,30.3,8.7,4.7,14.3,18.2,116.5
8,Oklahoma City Thunder,23,5520,43.1,92.7,.465,13.8,39.6,.347,29.4,53.1,.554,15.8,19.6,.805,10.4,33.0,43.4,25.9,12.1,6.4,11.7,21.2,115.8
9,Miami Heat,22,5330,40.8,90.4,.452,15.4,40.2,.383,25.4,50.2,.506,18.0,23.0,.783,10.6,34.1,44.6,27.1,9.2,3.7,13.0,16.8,115.0
10,Phoenix Suns,23,5570,40.5,86.6,.468,15.2,40.1,.378,25.4,46.5,.545,18.6,23.6,.790,9.5,34.5,44.0,27.3,7.8,4.9,14.5,18.7,114.8
11,Milwaukee Bucks,23,5545,41.5,86.0,.483,14.7,37.2,.394,26.9,48.8,.551,17.1,23.4,.731,8.4,35.1,43.5,24.0,7.1,5.7,14.2,18.8,114.8
12,Chicago Bulls,25,6000,41.6,87.1,.478,16.0,41.7,.384,25.6,45.4,.564,14.9,18.7,.795,8.4,33.9,42.3,28.1,6.9,4.4,14.8,17.6,114.1
13,Los Angeles Lakers,24,5785,41.5,87.5,.474,11.9,33.8,.352,29.6,53.7,.552,19.0,24.1,.786,9.1,31.7,40.9,27.1,8.0,4.8,13.2,16.6,113.9
14,Golden State Warriors,23,5545,41.5,91.5,.454,15.1,40.9,.369,26.4,50.6,.522,15.3,21.6,.707,13.0,35.3,48.3,29.0,8.9,5.2,14.3,20.5,113.3
15,Brooklyn Nets,24,5810,39.8,86.3,.462,15.7,40.7,.385,24.2,45.6,.531,17.7,22.0,.807,8.6,30.4,39.0,26.5,7.1,3.9,15.0,23.0,113.1
16,Indiana Pacers,25,6050,42.1,86.4,.487,12.3,32.9,.373,29.8,53.5,.557,16.6,21.0,.787,8.4,31.0,39.4,26.8,8.3,5.1,14.9,19.9,113.0
17,Houston Rockets,24,5835,41.2,93.7,.439,11.9,36.0,.330,29.3,57.7,.508,18.6,24.2,.769,14.1,35.5,49.6,22.3,8.6,5.6,13.1,20.4,112.8
18,San Antonio Spurs,24,5760,40.1,88.5,.454,14.0,40.5,.345,26.2,48.0,.545,18.6,23.4,.794,11.4,34.0,45.4,28.3,7.8,6.5,15.0,16.8,112.8
19,Atlanta Hawks,25,6025,41.3,89.1,.463,11.8,34.7,.341,29.5,54.4,.542,18.0,22.9,.786,12.1,32.0,44.1,28.8,9.9,5.0,15.6,18.4,112.5
20,Minnesota Timberwolves,23,5570,40.0,86.1,.465,15.5,41.3,.375,24.6,44.8,.548,16.8,21.2,.793,9.4,33.5,42.9,25.5,8.7,4.9,16.5,18.9,112.3
21,Toronto Raptors,24,5835,41.8,90.1,.464,11.1,32.6,.340,30.7,57.5,.535,16.9,22.7,.743,13.1,32.6,45.7,28.6,7.8,4.8,16.4,22.3,111.6
22,Detroit Pistons,25,6075,40.9,88.1,.464,13.4,36.9,.363,27.5,51.2,.536,16.1,21.1,.765,11.4,34.3,45.7,25.5,6.3,5.4,16.8,20.2,111.2
23,Los Angeles Clippers,25,6025,40.7,88.0,.463,12.8,34.5,.371,27.9,53.5,.522,16.8,21.6,.779,11.6,34.0,45.6,25.1,9.6,4.4,16.8,19.3,111.1
24,Orlando Magic,26,6240,39.6,87.6,.452,12.2,39.1,.311,27.5,48.5,.566,19.4,24.7,.785,11.1,32.2,43.3,24.7,9.9,7.0,15.5,20.7,110.8
25,Utah Jazz,23,5520,39.2,86.2,.454,13.0,37.5,.347,26.2,48.8,.536,18.9,23.8,.795,12.1,33.0,45.1,24.6,6.9,5.0,18.6,18.7,110.2
26,Charlotte Hornets,24,5810,39.4,91.7,.429,16.1,44.1,.364,23.3,47.6,.490,14.8,18.9,.783,13.3,32.9,46.2,23.5,7.9,5.0,16.6,21.7,109.6
27,Philadelphia 76ers,22,5355,38.8,88.1,.440,11.8,36.9,.321,27.0,51.2,.526,18.3,23.7,.773,10.9,30.1,41.0,22.3,9.5,4.1,14.9,21.1,107.7
28,Portland Trail Blazers,24,5760,39.1,89.8,.435,11.8,35.4,.333,27.3,54.4,.502,16.8,21.9,.767,13.0,30.1,43.1,22.2,8.4,6.0,16.9,19.7,106.8
29,New Orleans Pelicans,25,6000,39.7,90.8,.438,11.0,33.7,.327,28.7,57.1,.503,16.2,21.4,.757,12.9,30.9,43.8,24.2,9.6,5.5,15.3,18.1,106.8
30,Washington Wizards,22,5280,38.7,88.2,.440,10.9,34.9,.312,27.9,53.3,.523,16.4,21.0,.779,10.1,31.7,41.8,23.7,7.8,5.5,15.7,21.3,104.7
