Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Oklahoma City Thunder,24.4,18,5,19,4,11.91,-0.74,11.17,115.8,103.9,+11.9,99.9,.212,.427,.572,,.540,10.4,22.8,.171,,.499,16.7,71.9,.223,,Paycom Center,195268,17752
2,Cleveland Cavaliers,26.6,21,4,19,6,9.92,-2.18,7.74,121.2,111.3,+9.9,100.2,.232,.431,.621,,.594,11.9,21.6,.181,,.532,13.7,75.8,.189,,Rocket Mortgage Fieldhouse,272048,19432
3,Boston Celtics,28.9,19,5,18,6,9.42,-0.89,8.53,121.0,111.5,+9.5,98.0,.244,.565,.596,,.562,10.5,23.5,.196,,.535,12.2,77.1,.161,,TD Garden,229872,17682
4,Memphis Grizzlies,24.9,17,8,18,7,8.72,-2.33,6.39,116.8,108.4,+8.4,104.6,.266,.406,.595,,.561,14.1,27.6,.207,,.510,13.5,74.2,.208,,FedEx Forum,225856,16133
5,Dallas Mavericks,27.5,16,8,17,7,7.67,-1.10,6.56,119.0,111.4,+7.6,99.6,.268,.396,.595,,.561,12.4,27.0,.208,,.519,12.5,74.1,.197,,American Airlines Center,221151,20105
6,New York Knicks,27.4,14,9,16,7,6.83,-1.45,5.38,121.7,114.6,+7.1,96.9,.230,.414,.615,,.583,11.8,23.2,.189,,.548,11.9,77.1,.182,,Madison Square Garden (IV),217932,19812
7,Houston Rockets,24.5,16,8,17,7,7.04,0.46,7.51,112.8,105.8,+7.0,99.4,.258,.384,.541,,.503,11.2,29.7,.199,,.499,13.1,77.0,.200,,Toyota Center,203126,16927
8,Golden State Warriors,28.3,14,9,15,8,4.96,0.46,5.42,113.3,108.4,+4.9,100.3,.236,.447,.561,,.536,12.4,27.4,.167,,.510,13.3,76.2,.207,,Chase Center,198704,18064
9,Orlando Magic,24.9,17,9,17,9,4.35,-1.51,2.84,110.8,106.3,+4.5,97.2,.282,.446,.562,,.522,13.6,25.2,.221,,.531,15.7,78.3,.204,,Kia Center,183035,18304
10,Minnesota Timberwolves,27.6,12,11,14,9,3.57,-0.01,3.55,112.3,108.7,+3.6,97.5,.246,.479,.588,,.555,14.7,22.5,.195,,.526,14.2,76.2,.179,,Target Center,208758,18978
11,Sacramento Kings,27.6,12,13,15,10,3.20,-1.01,2.20,116.5,113.3,+3.2,98.7,.255,.393,.589,,.554,12.1,23.7,.203,,.545,13.6,77.0,.207,,Golden 1 Center,215237,16557
12,Miami Heat,27.9,12,10,13,9,2.95,-0.62,2.34,115.0,112.0,+3.0,96.7,.255,.444,.572,,.537,11.5,23.2,.199,,.540,13.7,74.6,.168,,Kaseya Center,215888,19626
13,Denver Nuggets,26.7,12,10,12,10,1.91,0.89,2.80,116.5,114.7,+1.8,100.9,.282,.341,.590,,.558,12.6,25.7,.211,,.543,12.8,73.1,.167,,Ball Arena,197432,19743
